plate_type,plate,row,column,well,gene,sample,content,gene_color
96,Plate 1,A,1,A1,HPRT1,Ctrl,reference,#1f5fbf
96,Plate 1,A,2,A2,HPRT1,Ctrl,reference,#1f5fbf
96,Plate 1,A,3,A3,HPRT1,T1_TP1,reference,#1f5fbf
96,Plate 1,A,4,A4,HPRT1,T1_TP1,reference,#1f5fbf
96,Plate 1,A,5,A5,MAP2,Ctrl,target,#c0392b
96,Plate 1,A,6,A6,MAP2,Ctrl,target,#c0392b
96,Plate 1,A,7,A7,MAP2,T1_TP1,target,#c0392b
96,Plate 1,A,8,A8,MAP2,T1_TP1,target,#c0392b
96,Plate 1,A,9,A9,GFAP,Ctrl,target,#e67e22
96,Plate 1,A,10,A10,GFAP,Ctrl,target,#e67e22
96,Plate 1,A,11,A11,GFAP,T1_TP1,target,#e67e22
96,Plate 1,A,12,A12,GFAP,T1_TP1,target,#e67e22
96,Plate 1,B,1,B1,HPRT1,T1_TP2,reference,#1f5fbf
96,Plate 1,B,2,B2,HPRT1,T1_TP2,reference,#1f5fbf
96,Plate 1,B,3,B3,HPRT1,T1_TP3,reference,#1f5fbf
96,Plate 1,B,4,B4,HPRT1,T1_TP3,reference,#1f5fbf
96,Plate 1,B,5,B5,MAP2,T1_TP2,target,#c0392b
96,Plate 1,B,6,B6,MAP2,T1_TP2,target,#c0392b
96,Plate 1,B,7,B7,MAP2,T1_TP3,target,#c0392b
96,Plate 1,B,8,B8,MAP2,T1_TP3,target,#c0392b
96,Plate 1,B,9,B9,GFAP,T1_TP2,target,#e67e22
96,Plate 1,B,10,B10,GFAP,T1_TP2,target,#e67e22
96,Plate 1,B,11,B11,GFAP,T1_TP3,target,#e67e22
96,Plate 1,B,12,B12,GFAP,T1_TP3,target,#e67e22
96,Plate 1,C,1,C1,HPRT1,T2_TP1,reference,#1f5fbf
96,Plate 1,C,2,C2,HPRT1,T2_TP1,reference,#1f5fbf
96,Plate 1,C,3,C3,HPRT1,T2_TP2,reference,#1f5fbf
96,Plate 1,C,4,C4,HPRT1,T2_TP2,reference,#1f5fbf
96,Plate 1,C,5,C5,MAP2,T2_TP1,target,#c0392b
96,Plate 1,C,6,C6,MAP2,T2_TP1,target,#c0392b
96,Plate 1,C,7,C7,MAP2,T2_TP2,target,#c0392b
96,Plate 1,C,8,C8,MAP2,T2_TP2,target,#c0392b
96,Plate 1,C,9,C9,GFAP,T2_TP1,target,#e67e22
96,Plate 1,C,10,C10,GFAP,T2_TP1,target,#e67e22
96,Plate 1,C,11,C11,GFAP,T2_TP2,target,#e67e22
96,Plate 1,C,12,C12,GFAP,T2_TP2,target,#e67e22
96,Plate 1,D,1,D1,HPRT1,T2_TP3,reference,#1f5fbf
96,Plate 1,D,2,D2,HPRT1,T2_TP3,reference,#1f5fbf
96,Plate 1,D,3,D3,HPRT1,T3_TP1,reference,#1f5fbf
96,Plate 1,D,4,D4,HPRT1,T3_TP1,reference,#1f5fbf
96,Plate 1,D,5,D5,MAP2,T2_TP3,target,#c0392b
96,Plate 1,D,6,D6,MAP2,T2_TP3,target,#c0392b
96,Plate 1,D,7,D7,MAP2,T3_TP1,target,#c0392b
96,Plate 1,D,8,D8,MAP2,T3_TP1,target,#c0392b
96,Plate 1,D,9,D9,GFAP,T2_TP3,target,#e67e22
96,Plate 1,D,10,D10,GFAP,T2_TP3,target,#e67e22
96,Plate 1,D,11,D11,GFAP,T3_TP1,target,#e67e22
96,Plate 1,D,12,D12,GFAP,T3_TP1,target,#e67e22
96,Plate 1,E,1,E1,HPRT1,T3_TP2,reference,#1f5fbf
96,Plate 1,E,2,E2,HPRT1,T3_TP2,reference,#1f5fbf
96,Plate 1,E,3,E3,HPRT1,T3_TP3,reference,#1f5fbf
96,Plate 1,E,4,E4,HPRT1,T3_TP3,reference,#1f5fbf
96,Plate 1,E,5,E5,MAP2,T3_TP2,target,#c0392b
96,Plate 1,E,6,E6,MAP2,T3_TP2,target,#c0392b
96,Plate 1,E,7,E7,MAP2,T3_TP3,target,#c0392b
96,Plate 1,E,8,E8,MAP2,T3_TP3,target,#c0392b
96,Plate 1,E,9,E9,GFAP,T3_TP2,target,#e67e22
96,Plate 1,E,10,E10,GFAP,T3_TP2,target,#e67e22
96,Plate 1,E,11,E11,GFAP,T3_TP3,target,#e67e22
96,Plate 1,E,12,E12,GFAP,T3_TP3,target,#e67e22
96,Plate 1,F,1,F1,HPRT1,T4_TP1,reference,#1f5fbf
96,Plate 1,F,2,F2,HPRT1,T4_TP1,reference,#1f5fbf
96,Plate 1,F,3,F3,HPRT1,T4_TP2,reference,#1f5fbf
96,Plate 1,F,4,F4,HPRT1,T4_TP2,reference,#1f5fbf
96,Plate 1,F,5,F5,MAP2,T4_TP1,target,#c0392b
96,Plate 1,F,6,F6,MAP2,T4_TP1,target,#c0392b
96,Plate 1,F,7,F7,MAP2,T4_TP2,target,#c0392b
96,Plate 1,F,8,F8,MAP2,T4_TP2,target,#c0392b
96,Plate 1,F,9,F9,GFAP,T4_TP1,target,#e67e22
96,Plate 1,F,10,F10,GFAP,T4_TP1,target,#e67e22
96,Plate 1,F,11,F11,GFAP,T4_TP2,target,#e67e22
96,Plate 1,F,12,F12,GFAP,T4_TP2,target,#e67e22
96,Plate 1,G,1,G1,HPRT1,T4_TP3,reference,#1f5fbf
96,Plate 1,G,2,G2,HPRT1,T4_TP3,reference,#1f5fbf
96,Plate 1,G,3,G3,,,,
96,Plate 1,G,4,G4,,,,
96,Plate 1,G,5,G5,MAP2,T4_TP3,target,#c0392b
96,Plate 1,G,6,G6,MAP2,T4_TP3,target,#c0392b
96,Plate 1,G,7,G7,,,,
96,Plate 1,G,8,G8,,,,
96,Plate 1,G,9,G9,GFAP,T4_TP3,target,#e67e22
96,Plate 1,G,10,G10,GFAP,T4_TP3,target,#e67e22
96,Plate 1,G,11,G11,,,,
96,Plate 1,G,12,G12,,,,
96,Plate 1,H,1,H1,NTC,,NTC,#9aa0a6
96,Plate 1,H,2,H2,NTC,,NTC,#9aa0a6
96,Plate 1,H,3,H3,,,,
96,Plate 1,H,4,H4,,,,
96,Plate 1,H,5,H5,NTC,,NTC,#9aa0a6
96,Plate 1,H,6,H6,NTC,,NTC,#9aa0a6
96,Plate 1,H,7,H7,,,,
96,Plate 1,H,8,H8,,,,
96,Plate 1,H,9,H9,NTC,,NTC,#9aa0a6
96,Plate 1,H,10,H10,NTC,,NTC,#9aa0a6
96,Plate 1,H,11,H11,,,,
96,Plate 1,H,12,H12,,,,
96,Plate 2,A,1,A1,HPRT1,Ctrl,reference,#1f5fbf
96,Plate 2,A,2,A2,HPRT1,Ctrl,reference,#1f5fbf
96,Plate 2,A,3,A3,HPRT1,T1_TP1,reference,#1f5fbf
96,Plate 2,A,4,A4,HPRT1,T1_TP1,reference,#1f5fbf
96,Plate 2,A,5,A5,SLC17A7,Ctrl,target,#16a085
96,Plate 2,A,6,A6,SLC17A7,Ctrl,target,#16a085
96,Plate 2,A,7,A7,SLC17A7,T1_TP1,target,#16a085
96,Plate 2,A,8,A8,SLC17A7,T1_TP1,target,#16a085
96,Plate 2,A,9,A9,SLC32A1,Ctrl,target,#27ae60
96,Plate 2,A,10,A10,SLC32A1,Ctrl,target,#27ae60
96,Plate 2,A,11,A11,SLC32A1,T1_TP1,target,#27ae60
96,Plate 2,A,12,A12,SLC32A1,T1_TP1,target,#27ae60
96,Plate 2,B,1,B1,HPRT1,T1_TP2,reference,#1f5fbf
96,Plate 2,B,2,B2,HPRT1,T1_TP2,reference,#1f5fbf
96,Plate 2,B,3,B3,HPRT1,T1_TP3,reference,#1f5fbf
96,Plate 2,B,4,B4,HPRT1,T1_TP3,reference,#1f5fbf
96,Plate 2,B,5,B5,SLC17A7,T1_TP2,target,#16a085
96,Plate 2,B,6,B6,SLC17A7,T1_TP2,target,#16a085
96,Plate 2,B,7,B7,SLC17A7,T1_TP3,target,#16a085
96,Plate 2,B,8,B8,SLC17A7,T1_TP3,target,#16a085
96,Plate 2,B,9,B9,SLC32A1,T1_TP2,target,#27ae60
96,Plate 2,B,10,B10,SLC32A1,T1_TP2,target,#27ae60
96,Plate 2,B,11,B11,SLC32A1,T1_TP3,target,#27ae60
96,Plate 2,B,12,B12,SLC32A1,T1_TP3,target,#27ae60
96,Plate 2,C,1,C1,HPRT1,T2_TP1,reference,#1f5fbf
96,Plate 2,C,2,C2,HPRT1,T2_TP1,reference,#1f5fbf
96,Plate 2,C,3,C3,HPRT1,T2_TP2,reference,#1f5fbf
96,Plate 2,C,4,C4,HPRT1,T2_TP2,reference,#1f5fbf
96,Plate 2,C,5,C5,SLC17A7,T2_TP1,target,#16a085
96,Plate 2,C,6,C6,SLC17A7,T2_TP1,target,#16a085
96,Plate 2,C,7,C7,SLC17A7,T2_TP2,target,#16a085
96,Plate 2,C,8,C8,SLC17A7,T2_TP2,target,#16a085
96,Plate 2,C,9,C9,SLC32A1,T2_TP1,target,#27ae60
96,Plate 2,C,10,C10,SLC32A1,T2_TP1,target,#27ae60
96,Plate 2,C,11,C11,SLC32A1,T2_TP2,target,#27ae60
96,Plate 2,C,12,C12,SLC32A1,T2_TP2,target,#27ae60
96,Plate 2,D,1,D1,HPRT1,T2_TP3,reference,#1f5fbf
